<<<<<<< HEAD
LogMarijuana,LogPriceMarijuana,LogPriceCocaine,LogPriceCrack,YearsEducation,Age,Dealer,Female,PhysicalHealthGood,MentalHealthGood
1.386294361,9.210340372,9.105821302,7.418580863,15,20,1,0,1,1
1.098612289,8.006367568,9.105821302,7.418580863,14,21,0,0,1,1
1.386294361,8.024207158,9.105821302,7.418580863,12,21,0,1,0,0
1.220241194,7.457354266,9.721165956,7.567000942,15,26,0,0,1,1
0,8.29404964,9.210340372,7.567000942,10,24,0,0,1,1
2.335509874,8.29404964,9.36449108,7.418580863,15,22,0,0,1,1
3.688879454,8.006367568,8.006367568,7.567000942,12,30,0,1,1,1
3.401197382,7.418580863,8.9226583,7.567000942,15,21,1,0,1,0
1.386294361,8.517193191,9.141139854,7.567000942,14,23,0,0,1,1
4.787491743,6.907755279,9.903487553,8.2280285,12,33,1,0,1,1
2.708050201,8.117958643,10.02127059,8.079549192,13,30,0,0,0,0
2.995732074,7.755053125,9.141139854,7.567000942,12,22,1,0,1,1
0,8.125554773,9.123329031,6.907755279,14,31,1,0,1,1
0,7.978196702,7.60090246,8.29404964,17,22,1,0,0,0
1.609437912,6.725433766,9.210340372,7.313220387,14,24,1,1,0,0
1.098612289,8.111728073,7.824046011,8.2280285,18,28,0,0,1,1
1.17865515,8.699514748,9.618025215,6.907755279,6,27,1,0,0,1
1.946853504,8.125554773,9.123329031,6.907755279,19,36,1,1,1,0
0,7.975712018,9.224133705,7.60090246,16,58,0,0,1,1
0,8.09914925,8.517193191,8.2280285,12,26,0,0,1,0
0,7.60090246,9.105821302,7.418580863,18,25,0,0,0,0
0,8.491875383,9.105821302,7.418580863,13,19,0,0,1,0
2.995732274,7.60090246,9.141139854,7.567000942,16,32,1,0,1,1
5.480638923,8.066992189,7.60090246,7.888584544,12,33,0,0,1,1
0,9.104979856,9.36449108,7.418580863,17,26,0,0,0,1
1.098612289,8.642356305,9.36449108,7.418580863,14,52,0,0,1,1
3.615067319,7.888584544,10.02127059,8.079549192,13,27,0,0,1,1
3.17805383,7.824046011,8.890943734,8.010064426,6,36,1,0,1,1
3.519620982,8.642356305,9.36449108,7.418580863,17,45,1,1,0,1
0,8.125554773,9.123329031,6.907755279,14,20,1,0,1,0
4.65396035,6.907755279,9.210340372,8.2280285,17,33,0,0,1,1
0,8.29404964,9.105821302,7.418580863,13,18,0,0,0,0
1.215357186,8.024207158,9.105821302,7.418580863,17,29,0,0,1,0
2.079441542,8.517193191,9.105821302,6.907755279,17,47,0,0,1,1
1.609437912,8.29404964,9.242373877,8.334871595,8,43,1,0,1,1
5.192956851,7.824046011,8.890943734,8.010064426,12,32,1,0,1,1
4.787491743,6.907755279,9.224133705,7.60090246,10,27,1,1,1,1
2.079441542,6.907755279,9.242373877,8.334871595,6,61,1,0,1,1
3.401197382,8.111728073,8.517193191,8.29404964,4,32,1,0,0,0
3.462335879,7.720564041,8.411832676,8.2280285,10,32,0,0,0,1
1.386294361,8.125554773,9.123329031,6.907755279,17,31,0,1,1,1
4.536177429,7.013115785,9.123329031,6.907755279,12,43,0,0,0,1
4.025351691,7.957577383,9.141139854,7.567000942,6,33,0,0,1,1
2.48490665,8.804875239,8.793701995,8.2280285,9,26,0,0,0,0
1.386294361,8.041110482,9.903487553,6.907755279,21,28,0,0,1,1
3.401197382,6.502290206,8.793701995,8.2280285,3,25,1,0,1,0
0,8.125554773,9.123329031,6.907755279,15,33,1,1,1,1
3.51039672,6.214608098,9.141139854,7.567000942,14,25,0,0,1,1
0.693147181,7.60090246,9.210340372,7.418580863,18,23,0,1,1,1
0.693147181,8.853665428,9.498022419,7.418580863,15,22,0,0,0,0
1.386294361,8.041110482,9.903487553,6.907755279,21,40,0,1,1,1
4.852030264,6.245379757,9.123329031,6.907755279,12,48,1,0,1,1
3.488208859,6.502290206,9.903487553,8.2280285,10,23,0,0,0,0
4.744932128,6.874965461,8.517193191,7.60090246,12,45,1,0,1,1
5.723418454,7.706262965,8.9226583,7.418580863,16,34,1,0,1,1
3.465735903,7.872836175,9.224133705,7.60090246,17,28,1,1,1,1
0,8.111728073,7.824046011,7.418580863,18,22,1,0,1,0
0,9.210340372,8.517193191,8.517193191,14,18,0,1,0,1
3.688879454,7.877155784,9.970626861,7.60090246,12,41,0,1,1,1
1.478019144,8.29404964,8.29404964,7.418580863,15,59,1,0,1,0
0.693147181,8.491875383,9.105821302,7.418580863,15,65,0,0,1,0
4.787491743,7.313220387,9.105821302,6.907755279,15,30,0,1,1,1
3.17805383,9.210340372,8.793701995,8.2280285,13,22,0,0,0,1
0.847297846,8.111728073,7.824046011,7.418580863,19,41,1,1,1,1
1.791759469,8.517193191,8.793701995,8.2280285,13,26,0,0,1,1
0.11718668,6.907755279,8.9767255,7.60090246,17,24,1,0,1,0
2.600609226,6.907755279,9.335503486,7.929406535,12,34,0,0,1,1
3.465735903,8.740336743,9.105821302,6.907755279,17,35,1,0,1,1
